City_ID,City,Country,Max Temp,Weather description,Lat,Lng,Hotel Name
1308,Rikitea,PF,77.65,overcast clouds,-23.1203,-134.9692,People ThankYou
1309,Sur,OM,82.13,clear sky,22.5667,59.5289,Sur Plaza Hotel
1311,Carnarvon,AU,82.47,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
1320,Kirakira,SB,80.98,overcast clouds,-10.4544,161.9205,SanBiz Lodge
1325,Bredasdorp,ZA,78.89,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
1326,Rikitea,PF,77.65,overcast clouds,-23.1203,-134.9692,People ThankYou
1327,Rikitea,PF,77.65,overcast clouds,-23.1203,-134.9692,People ThankYou
1328,Avarua,CK,78.85,overcast clouds,-21.2078,-159.775,Paradise Inn
1331,Atuona,PF,78.87,broken clouds,-9.8,-139.0333,Villa Enata
1332,Rikitea,PF,77.65,overcast clouds,-23.1203,-134.9692,People ThankYou
1336,Carnarvon,AU,82.47,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
1338,Kavieng,PG,82.96,clear sky,-2.5744,150.7967,Nusa Island Retreat
1339,Carnarvon,AU,82.47,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
1355,Moranbah,AU,80.67,clear sky,-22.0016,148.0466,Direct Hotels - Monterey Moranbah
1361,Atuona,PF,78.87,broken clouds,-9.8,-139.0333,Villa Enata
1366,Souillac,MU,84.58,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
1369,Port Alfred,ZA,89.37,scattered clouds,-33.5906,26.891,The Halyards Hotel
1373,Kloulklubed,PW,82.9,broken clouds,7.0419,134.2556,Storyboard Beach Resort
1374,Saint-Philippe,RE,85.59,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
1376,Port Alfred,ZA,89.37,scattered clouds,-33.5906,26.891,The Halyards Hotel
1379,Rikitea,PF,77.65,overcast clouds,-23.1203,-134.9692,People ThankYou
1380,Atuona,PF,78.87,broken clouds,-9.8,-139.0333,Villa Enata
1392,Port Alfred,ZA,89.37,scattered clouds,-33.5906,26.891,The Halyards Hotel
1394,Rikitea,PF,77.65,overcast clouds,-23.1203,-134.9692,People ThankYou
1398,Vaini,TO,77.16,few clouds,-21.2,-175.2,Keleti Beach Resort
1401,Namatanai,PG,81.73,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
1405,Axim,GH,84.81,few clouds,4.8699,-2.2405,Axim Beach Resort And Spa
1406,Rikitea,PF,77.65,overcast clouds,-23.1203,-134.9692,People ThankYou
1409,Souillac,MU,84.58,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
1418,Avarua,CK,78.85,overcast clouds,-21.2078,-159.775,Paradise Inn
1420,Georgetown,MY,89.53,thunderstorm,5.4112,100.3354,Cititel Penang
1421,Kloulklubed,PW,82.9,broken clouds,7.0419,134.2556,Storyboard Beach Resort
1423,Port Blair,IN,87.84,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
1425,Rikitea,PF,77.65,overcast clouds,-23.1203,-134.9692,People ThankYou
1426,Loa Janan,ID,79.79,broken clouds,-0.583,117.095,Kost bu jono
1429,Sur,OM,82.13,clear sky,22.5667,59.5289,Sur Plaza Hotel
1431,Omboue,GA,77.45,overcast clouds,-1.5746,9.2618,Hotel Olako
1437,Avarua,CK,78.85,overcast clouds,-21.2078,-159.775,Paradise Inn
1438,Rikitea,PF,77.65,overcast clouds,-23.1203,-134.9692,People ThankYou
1445,Georgetown,MY,89.53,thunderstorm,5.4112,100.3354,Cititel Penang
1447,Puerto Ayora,EC,77.25,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
1451,Soyo,AO,75.96,moderate rain,-6.1349,12.3689,Hotel Mpampa
1461,Rikitea,PF,77.65,overcast clouds,-23.1203,-134.9692,People ThankYou
1465,Avarua,CK,78.85,overcast clouds,-21.2078,-159.775,Paradise Inn
1469,Chiredzi,ZW,79.47,scattered clouds,-21.05,31.6667,Clevers Hotel Chiredzi
1470,Epe,NG,88.41,light rain,6.5841,3.9834,MAGVILLE HOTEL
1472,Xam Nua,LA,75.72,broken clouds,20.4197,104.0439,Xee Wang Guesthouse
1477,Bredasdorp,ZA,78.89,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
1479,Avarua,CK,78.85,overcast clouds,-21.2078,-159.775,Paradise Inn
1480,Souillac,MU,84.58,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
1481,Georgetown,MY,89.53,thunderstorm,5.4112,100.3354,Cititel Penang
1483,Vaini,TO,77.16,few clouds,-21.2,-175.2,Keleti Beach Resort
1493,Pokhara,NP,87.69,clear sky,28.2333,83.9833,OYO 170 Hotel View Point
1499,Port Alfred,ZA,89.37,scattered clouds,-33.5906,26.891,The Halyards Hotel
1500,Hithadhoo,MV,82.02,clear sky,-0.6,73.0833,Scoop Guest House
1501,Rikitea,PF,77.65,overcast clouds,-23.1203,-134.9692,People ThankYou
