City_ID,City,Lat,Lng,Max Temp,% Humidity,% Cloudiness,Wind Speed,Country,Date,Weather description
999,Aksarka,66.5606,67.7975,32.92,100,100,16.89,RU,2022-03-29 08:51:39,snow
1000,Albany,42.6001,-73.9662,18.68,63,24,1.99,US,2022-03-29 08:43:42,few clouds
1001,Nouadhibou,20.931,-17.0347,64.38,94,0,10.36,MR,2022-03-29 08:50:21,clear sky
1002,Bluff,-46.6,168.3333,59.32,84,39,1.39,NZ,2022-03-29 08:46:37,scattered clouds
1003,San Cristobal,7.7669,-72.225,65.84,87,100,2.44,VE,2022-03-29 08:44:09,overcast clouds
1004,East Stroudsburg,40.9995,-75.1813,24.49,62,81,10.45,US,2022-03-29 08:51:40,broken clouds
1005,Port Alfred,-33.5906,26.891,92.17,37,42,8.01,ZA,2022-03-29 08:51:40,scattered clouds
1006,Albany,42.6001,-73.9662,18.68,63,24,1.99,US,2022-03-29 08:43:42,few clouds
1007,Homer,59.6425,-151.5483,38.05,90,100,3.0,US,2022-03-29 08:51:41,overcast clouds
1008,Kaitangata,-46.2817,169.8464,55.87,94,100,3.38,NZ,2022-03-29 08:41:43,overcast clouds
1009,Hermanus,-34.4187,19.2345,71.8,65,98,16.33,ZA,2022-03-29 08:46:34,overcast clouds
1010,Kodiak,57.79,-152.4072,35.11,93,100,0.0,US,2022-03-29 08:45:24,light rain
1011,Atbasar,51.8,68.3333,33.6,100,100,7.99,KZ,2022-03-29 08:51:42,light snow
1012,Chokurdakh,70.6333,147.9167,-8.84,90,13,4.23,RU,2022-03-29 08:50:21,few clouds
1013,Yar-Sale,66.8333,70.8333,33.69,85,100,22.01,RU,2022-03-29 08:51:43,overcast clouds
1014,Busselton,-33.65,115.3333,74.8,61,100,17.56,AU,2022-03-29 08:46:47,overcast clouds
1015,Ushuaia,-54.8,-68.3,38.86,81,75,18.41,AR,2022-03-29 08:41:30,broken clouds
1016,Isangel,-19.55,169.2667,79.74,86,78,9.01,VU,2022-03-29 08:51:43,broken clouds
1017,Havre-Saint-Pierre,50.2334,-63.5986,32.36,100,100,6.91,CA,2022-03-29 08:51:44,overcast clouds
1018,Atuona,-9.8,-139.0333,78.87,80,75,14.79,PF,2022-03-29 08:50:28,broken clouds
1019,Albany,42.6001,-73.9662,18.68,63,24,1.99,US,2022-03-29 08:43:42,few clouds
1020,Arlit,18.7369,7.3853,88.74,4,2,6.31,NE,2022-03-29 08:51:45,clear sky
1021,Susurluk,39.9136,28.1578,61.39,57,100,10.36,TR,2022-03-29 08:51:45,overcast clouds
1022,Vaini,-21.2,-175.2,77.16,83,20,8.05,TO,2022-03-29 08:44:01,few clouds
1023,Muros,42.7762,-9.0603,57.09,78,32,7.61,ES,2022-03-29 08:50:27,scattered clouds
1024,Thompson,55.7435,-97.8558,17.76,86,100,5.75,CA,2022-03-29 08:49:12,overcast clouds
1025,Arraial Do Cabo,-22.9661,-42.0278,73.26,100,40,3.44,BR,2022-03-29 08:46:33,scattered clouds
1026,Ha Tinh,18.3333,105.9,74.44,76,78,8.01,VN,2022-03-29 08:51:46,broken clouds
1027,Lebu,-37.6167,-73.65,53.29,71,44,14.52,CL,2022-03-29 08:42:51,scattered clouds
1028,Luderitz,-26.6481,15.1594,66.54,73,79,2.66,NA,2022-03-29 08:51:47,broken clouds
1029,Powell River,49.8496,-124.5361,47.08,86,24,2.89,CA,2022-03-29 08:51:47,few clouds
1030,Norwich,52.6278,1.2983,44.78,90,75,8.05,GB,2022-03-29 08:50:58,broken clouds
1031,Hobyo,5.3505,48.5268,85.87,60,8,19.04,SO,2022-03-29 08:51:48,clear sky
1032,Myre,69.1036,15.9492,31.95,64,100,29.46,NO,2022-03-29 08:51:48,light snow
1033,Portland,45.5234,-122.6762,51.78,88,100,3.0,US,2022-03-29 08:50:36,overcast clouds
1034,Rikitea,-23.1203,-134.9692,77.65,71,92,2.8,PF,2022-03-29 08:46:41,overcast clouds
1035,Hobart,-42.8794,147.3294,62.28,81,75,16.11,AU,2022-03-29 08:47:56,broken clouds
1036,Hambantota,6.1241,81.1185,89.94,70,20,8.05,LK,2022-03-29 08:50:25,few clouds
1037,Loksa,59.5764,25.7214,24.8,72,100,8.7,EE,2022-03-29 08:51:49,overcast clouds
1038,Port Alfred,-33.5906,26.891,92.17,37,42,8.01,ZA,2022-03-29 08:51:40,scattered clouds
1039,Chaohu,31.6,117.8667,68.79,60,98,6.26,CN,2022-03-29 08:51:50,overcast clouds
1040,Hermanus,-34.4187,19.2345,71.8,65,98,16.33,ZA,2022-03-29 08:46:34,overcast clouds
1041,Busselton,-33.65,115.3333,74.8,61,100,17.56,AU,2022-03-29 08:46:47,overcast clouds
1042,Punta Arenas,-53.15,-70.9167,39.31,65,0,12.66,CL,2022-03-29 08:49:10,clear sky
1043,Clyde River,70.4692,-68.5914,1.63,85,75,13.8,CA,2022-03-29 08:44:03,light snow
1044,Isla Vista,34.4133,-119.861,53.42,75,0,0.0,US,2022-03-29 08:52:52,clear sky
1045,Carnarvon,-24.8667,113.6333,82.47,69,34,17.27,AU,2022-03-29 08:42:55,scattered clouds
1046,Otradnoye,59.7775,30.8181,29.03,78,100,5.19,RU,2022-03-29 08:52:52,light snow
1047,Tutoia,-2.7619,-42.2744,74.66,93,90,6.08,BR,2022-03-29 08:52:53,overcast clouds
1048,Ushuaia,-54.8,-68.3,38.86,81,75,18.41,AR,2022-03-29 08:50:56,broken clouds
1049,Hilo,19.7297,-155.09,73.13,86,100,5.75,US,2022-03-29 08:42:47,overcast clouds
1050,San Ramon De La Nueva Oran,-23.1322,-64.326,69.35,89,6,1.72,AR,2022-03-29 08:52:54,clear sky
1051,Turukhansk,65.8167,87.9833,28.47,83,100,17.47,RU,2022-03-29 08:52:55,overcast clouds
1052,Srednekolymsk,67.45,153.6833,-2.56,98,31,7.96,RU,2022-03-29 08:51:39,scattered clouds
1053,Hobart,-42.8794,147.3294,62.28,81,75,16.11,AU,2022-03-29 08:47:56,broken clouds
1054,Busselton,-33.65,115.3333,74.8,61,100,17.56,AU,2022-03-29 08:46:47,overcast clouds
1055,Nanortalik,60.1432,-45.2371,25.27,76,26,4.59,GL,2022-03-29 08:50:37,scattered clouds
1056,Flinders,-34.5833,150.8552,70.18,92,100,5.99,AU,2022-03-29 08:52:57,overcast clouds
1057,Berbera,10.4396,45.0143,85.96,47,68,17.85,SO,2022-03-29 08:52:57,broken clouds
1058,Valle De Allende,26.9333,-105.4,62.92,16,70,5.91,MX,2022-03-29 08:52:58,broken clouds
1059,Saint-Augustin,51.226,-58.6502,30.97,92,100,14.83,CA,2022-03-29 08:52:58,light snow
1060,Albany,42.6001,-73.9662,18.68,63,24,1.99,US,2022-03-29 08:43:42,few clouds
1061,Tiksi,71.6872,128.8694,1.98,89,100,4.05,RU,2022-03-29 08:52:59,overcast clouds
1062,Harper,4.375,-7.7169,81.75,81,100,4.79,LR,2022-03-29 08:53:00,light rain
1063,Margate,51.3813,1.3862,48.69,86,100,4.0,GB,2022-03-29 08:53:00,overcast clouds
1064,Tuy Hoa,13.0833,109.3,80.76,77,28,11.59,VN,2022-03-29 08:53:01,scattered clouds
